Codigo Municipio,1 persona,2 personas,3 personas,4 personas,5 personas,6 o más personas
12042,85,195,265,220,45,15
43043,300,900,900,1510,420,140
36010,215,595,790,1105,645,145
03055,515,2390,2030,2385,570,685
02025,800,2230,2435,3410,1385,115
46095,100,160,310,110,70,10
12043,90,280,75,215,40,25
25071,20,25,20,*,*,*
09063,35,40,105,65,20,*
09093,25,45,60,55,5,*
45045,130,380,490,360,315,155
23027,65,155,235,275,70,10
41032,400,835,1195,2035,580,*
23028,750,1925,2000,2550,680,*
49044,10,25,35,10,*,*
24051,100,155,60,110,65,30
24052,40,40,60,15,25,5
45046,245,755,940,1365,260,170
09094,5,10,10,*,10,10
05057,315,1105,685,1000,210,145
24053,70,160,195,75,25,25
10061,195,505,545,565,175,25
15022,570,1490,1855,1735,1000,595
10062,95,145,115,125,20,*
40052,15,35,30,30,10,*
45047,265,740,830,1265,105,185
44074,35,90,150,280,20,15
15023,530,1510,2295,1745,770,1005
30017,860,2920,4800,4700,1605,960
47048,20,95,55,55,35,*
09095,15,20,15,25,20,*
44075,25,65,115,85,55,75
32024,515,1915,1480,1325,310,225
44076,225,790,625,990,180,70
17189,165,570,400,560,115,230
26045,*,*,10,*,*,*
17049,380,955,1040,1910,555,*
31193,170,375,355,635,120,75
19080,15,40,10,15,15,*
19081,15,10,15,*,*,*
18047,590,1485,1945,3100,565,155
26046,300,620,535,490,40,80
28037,215,505,465,645,105,135
02026,75,225,255,355,195,140
32025,200,510,250,265,60,40
08067,660,2155,1805,2015,330,320
19082,30,45,25,*,0,*
42059,*,15,*,*,*,5
37098,40,85,90,130,30,*
05058,20,25,10,35,*,*
42060,10,15,15,*,*,*
15024,345,1040,1065,1235,1060,600
28038,755,1550,1370,2175,920,*
08268,185,385,335,345,35,25
46096,25,105,115,95,35,30
08266,3995,13315,14390,17770,5735,1655
36011,305,460,655,345,85,*
15025,30,370,365,270,165,100
37099,20,60,*,*,*,*
49046,35,95,85,70,40,5
49047,15,50,45,15,*,*
37100,30,30,20,*,*,*
10063,35,55,25,45,20,*
40053,20,40,60,20,15,*
40054,35,45,75,10,20,*
09098,70,155,185,140,50,*
49048,30,70,30,30,*,*
44077,10,35,15,35,*,20
37101,30,95,40,20,*,10
45048,50,125,125,120,10,30
09100,*,15,*,*,*,*
21023,235,510,555,725,190,195
37102,70,130,85,65,70,20
27012,95,555,55,395,295,205
34055,40,115,70,45,30,20
08068,650,1860,1820,2585,1100,440
25072,735,2140,2365,2950,1025,150
28039,25,65,20,65,*,0
50079,50,85,80,60,*,45
45049,45,125,115,135,50,*
34056,150,635,950,510,185,80
16073,25,65,70,75,25,5
12044,60,165,260,130,70,*
26047,290,745,440,735,235,105
50080,*,*,15,*,5,*
25073,95,170,175,245,10,60
17050,55,190,245,280,65,65
47049,15,35,20,25,*,5
27013,385,1340,1360,795,430,185
37103,80,135,170,135,50,*
15026,*,105,455,145,1455,*
50081,80,210,105,170,95,15
51001,3770,10460,15900,21855,15035,16155
30018,715,1915,2305,3770,1525,555
34057,55,80,95,85,95,15
34058,30,55,75,30,25,*
37114,10,35,10,15,10,10
22094,10,20,20,35,30,5
05067,15,20,25,15,15,*
32029,70,150,245,115,10,*
27016,800,1870,2140,1870,1025,930
40065,65,140,165,280,135,135
28051,180,410,495,640,255,130
18059,270,1365,1075,1710,625,75
19103,45,85,95,55,45,*
06042,90,235,395,325,155,25
46107,200,630,765,875,235,45
46106,165,375,500,545,80,*
19104,*,*,*,*,*,*
46108,75,215,125,140,30,*
04036,45,70,65,35,25,60
12052,150,210,185,260,40,*
46109,925,2240,1765,2995,195,410
22095,*,*,55,25,*,*
11015,4725,14185,18880,31710,8190,2965
23029,115,270,315,355,10,45
12053,315,660,770,925,180,*
16023,90,200,175,120,20,*
19106,35,30,*,10,*,10
13038,240,500,370,580,235,30
23030,220,395,270,575,105,65
19105,200,890,815,1030,60,140
18061,185,330,375,355,145,55
22096,25,70,115,100,40,20
02029,375,745,1070,1295,490,100
28052,345,1240,1555,1495,550,40
11016,1150,2665,4630,6745,2125,1495
50092,50,80,100,130,55,55
04037,245,580,400,445,110,*
46111,1230,3400,4295,4680,930,345
50093,15,60,20,45,5,*
12055,25,25,35,40,*,*
12056,35,100,70,130,15,*
24065,290,535,450,630,440,5
45056,295,710,880,1085,655,440
21030,125,310,340,860,235,275
45057,15,45,90,70,45,*
46112,115,265,145,150,10,25
16081,*,15,10,*,*,40
18062,1195,2515,3255,4070,1930,105
09101,10,35,15,*,*,*
26048,*,15,*,*,*,*
42061,60,125,65,100,*,*
28040,1595,4485,5865,6745,2375,670
16074,10,25,*,*,20,*
30019,1705,6840,7595,12005,4745,2190
39021,55,150,195,170,25,10
19086,260,420,480,510,320,*
47050,380,1100,1365,1690,230,*
42062,*,30,*,*,*,*
47051,30,105,85,115,25,40
42063,20,20,*,30,*,*
26049,30,60,95,25,*,20
18048,200,445,875,895,395,305
05059,10,40,20,40,5,*
09102,10,20,15,*,*,*
10064,275,515,295,510,150,35
37104,*,15,15,*,*,*
09103,35,95,50,85,*,*
09104,10,10,20,15,5,*
40055,15,10,5,15,*,*
39022,130,230,330,250,215,180
24054,60,155,145,135,55,*
24055,145,225,85,245,80,35
50082,*,55,50,*,*,*
50083,10,20,20,65,5,0
19087,5,*,*,5,*,*
12045,60,125,95,145,25,20
31072,745,1655,1820,2245,940,335
37106,40,90,80,15,35,50
12046,55,85,35,65,5,15
31074,70,85,160,160,30,*
42064,15,25,*,15,5,40
31075,15,25,20,25,*,*
19088,40,45,*,10,*,20
45050,45,130,140,205,80,55
09105,15,30,30,*,*,35
19089,15,20,*,*,*,*
26050,15,45,40,*,5,20
42065,*,10,*,5,*,*
05060,15,35,40,35,10,*
34059,50,115,135,120,15,10
17051,10,85,70,80,25,*
47052,690,1945,2460,2675,545,55
24056,365,1135,1120,630,240,125
13034,8005,16525,16140,25410,6710,2070
37107,1285,3690,3240,3680,710,560
07015,2455,6735,8040,8470,2260,1470
25074,25,55,35,45,30,10
31076,130,565,500,1080,525,805
50084,30,30,25,*,*,*
25075,*,10,45,25,25,30
26051,30,115,50,85,15,*
33018,155,660,855,810,360,610
04034,15,35,15,45,50,*
45051,140,460,550,840,250,100
28041,380,1080,1260,2525,820,550
19090,20,60,15,25,10,*
45052,160,675,825,2045,305,110
34060,35,40,25,40,15,10
40056,*,30,5,*,*,*
49050,70,230,155,95,20,40
40057,170,470,550,580,170,*
37108,10,40,35,10,10,*
03056,995,3010,3300,2810,965,335
50085,35,75,55,20,15,*
44080,40,110,85,95,15,15
40058,40,100,105,115,35,*
50086,40,50,75,50,25,*
06037,275,490,785,660,*,85
46097,95,350,225,215,130,*
47053,25,40,35,50,5,*
47054,65,300,205,205,15,*
19091,10,10,*,10,*,*
09108,85,190,100,95,*,25
18049,105,205,80,230,115,*
18050,150,345,575,700,140,110
19092,60,155,275,115,*,50
25076,20,25,35,55,40,15
29042,1040,4325,5440,6545,3045,1205
15027,115,470,520,390,140,120
17054,50,210,65,130,25,55
32026,210,580,835,980,475,55
05061,25,100,110,85,25,*
39023,560,1510,2540,2780,370,345
25077,70,125,160,135,80,25
05062,25,55,35,100,25,*
10065,25,55,40,35,*,5
05063,10,15,*,*,*,10
40059,35,65,15,25,*,20
28046,480,1215,1630,2260,720,310
28047,4370,12445,14385,18425,7475,3645
34061,20,50,15,25,15,10
08069,180,775,1370,1275,530,125
43045,20,25,50,60,20,*
08070,25,45,135,100,25,15
29043,305,875,640,825,595,300
37109,25,55,45,45,25,*
28043,535,1800,2200,2135,830,740
28042,130,405,410,360,110,35
28045,2770,8105,10765,15570,5545,2800
28044,625,1420,2135,2810,1255,360
18051,100,300,300,580,210,*
17055,30,55,35,55,10,15
33019,445,1055,950,995,185,*
22090,25,55,20,15,5,*
25163,30,75,95,55,5,5
29044,240,605,350,225,60,30
39024,310,610,595,510,270,35
29045,290,1385,530,1230,35,150
